<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.08.25	1285.70	1294.00	1285.04	1291.00	61244	0	24
2017.08.27	1292.76	1293.23	1291.99	1292.60	1002	0	24
2017.08.28	1292.60	1300.64	1291.78	1300.64	36601	0	24
2017.08.31	1300.49	1313.18	1300.44	1313.09	40177	0	24
2017.09.03	1334.13	1336.67	1333.53	1334.92	3555	0	24
2017.09.04	1334.95	1339.46	1332.05	1333.57	43961	0	24
2017.09.05	1333.56	1344.25	1328.18	1341.63	86699	0	24
2017.09.06	1341.62	1342.39	1331.55	1333.62	72474	0	24
2017.09.07	1333.62	1349.42	1332.55	1347.36	83614	0	24
2017.09.08	1347.36	1357.42	1342.71	1346.60	83343	0	24
2017.09.10	1334.66	1339.96	1334.36	1334.95	3023	0	24
2017.09.11	1334.96	1338.96	1326.34	1328.72	62311	0	24
2017.09.12	1328.71	1328.97	1323.18	1326.15	39163	1336750	4
2017.09.13	1331.03	1334.59	1320.77	1322.71	48905	0	24
2017.09.14	1322.71	1333.36	1319.17	1333.13	65601	0	24
2017.09.15	1333.16	1334.24	1319.73	1320.53	64062	0	24
2017.09.17	1319.45	1319.46	1317.35	1317.36	1040	0	24
2017.09.18	1317.33	1319.59	1304.57	1307.80	56187	0	24
2017.09.19	1307.86	1311.60	1305.06	1310.58	56062	0	24
2017.09.20	1310.59	1315.94	1309.41	1311.10	42915	0	24
2017.09.24	1297.61	1297.65	1292.35	1293.27	2041	0	28
2017.09.25	1293.25	1311.38	1290.72	1308.44	72091	0	24
2017.09.26	1308.34	1313.56	1298.39	1301.49	52988	0	24
2017.10.01	1279.74	1279.74	1276.82	1277.93	726	0	29
2017.10.02	1277.90	1278.62	1270.35	1271.58	50781	0	24
2017.10.03	1271.61	1274.68	1268.28	1272.24	41827	0	24
2017.10.04	1272.24	1282.12	1271.79	1274.73	42648	0	24
2017.10.05	1274.71	1275.98	1267.28	1268.73	28334	0	24
2017.10.06	1268.73	1276.06	1260.54	1276.06	55875	0	24
2017.10.08	1275.66	1277.54	1275.45	1276.44	1767	0	24
2017.10.09	1276.44	1285.36	1275.16	1283.74	46926	0	24
2017.10.10	1283.75	1294.13	1282.02	1289.11	51256	0	24
2017.10.11	1289.11	1293.42	1284.49	1292.22	56657	0	24
2017.10.12	1292.22	1297.39	1289.52	1294.23	84913	0	24
2017.10.13	1294.25	1303.64	1290.82	1303.30	137209	186154773	31
2017.10.15	1302.51	1303.41	1301.58	1301.80	2081	3768084	35
2017.10.16	1301.79	1305.91	1290.31	1295.58	144798	355557238	27
2017.10.17	1295.57	1295.71	1281.22	1285.52	156826	374444093	26
2017.10.18	1285.53	1288.78	1276.85	1280.00	115929	0	14
2017.10.19	1280.01	1290.67	1276.45	1289.88	153425	0	27
2017.10.20	1289.87	1290.90	1277.83	1280.11	141825	0	27
2017.10.22	1277.40	1278.13	1276.86	1277.49	2456	0	38
2017.10.23	1277.49	1283.13	1272.39	1281.99	121457	0	30
2017.10.24	1282.00	1283.51	1273.60	1276.44	128108	0	26
2017.10.25	1276.45	1279.95	1270.88	1278.82	152324	0	28
2017.10.26	1278.83	1282.38	1265.60	1266.64	148448	0	25
2017.10.27	1266.61	1273.66	1263.62	1273.43	146526	0	26
2017.10.29	1273.19	1273.59	1271.90	1272.39	1515	0	19
2017.10.30	1272.48	1278.67	1268.80	1275.97	115998	0	29
2017.10.31	1275.98	1278.01	1267.53	1270.32	113959	0	25
2017.11.01	1270.38	1280.71	1267.85	1275.52	143729	0	1
2017.11.02	1275.50	1281.26	1273.28	1277.54	131350	0	28
2017.11.03	1277.56	1280.05	1265.37	1270.03	110486	0	27
2017.11.05	1270.55	1270.69	1268.82	1270.41	2165	0	36
2017.11.06	1270.41	1282.79	1265.98	1279.90	112000	0	0
2017.11.07	1279.91	1280.62	1271.71	1277.52	112864	0	30
2017.11.08	1277.43	1287.07	1275.84	1281.75	109833	0	0
2017.11.09	1281.80	1288.31	1279.82	1285.91	149334	0	29
2017.11.10	1285.92	1286.93	1273.32	1275.60	117519	0	29
2017.11.12	1275.02	1275.50	1274.19	1275.11	2890	0	36
2017.11.13	1275.09	1279.62	1274.72	1277.72	95778	0	23
2017.11.14	1277.72	1283.45	1269.80	1280.77	118878	0	0
2017.11.15	1280.77	1289.39	1276.57	1279.31	152964	0	30
2017.11.16	1279.29	1281.67	1274.99	1279.11	111906	0	0
2017.11.17	1279.16	1296.77	1278.78	1294.11	124544	0	16
2017.11.19	1292.31	1294.62	1291.89	1293.43	4891	0	36
2017.11.20	1293.31	1294.00	1274.46	1279.19	128013	0	21
2017.11.21	1279.20	1284.60	1276.18	1281.84	112397	0	17
2017.11.22	1281.79	1294.52	1278.93	1290.76	117766	0	0
2017.11.23	1290.79	1293.44	1286.82	1291.21	55859	0	0
2017.11.24	1291.16	1293.13	1285.49	1288.27	87526	0	0
2017.11.26	1288.27	1288.64	1287.13	1287.26	1580	0	36
2017.11.27	1287.28	1299.08	1286.62	1294.37	107848	0	0
2017.11.28	1294.33	1297.28	1290.53	1293.85	111252	0	13
2017.11.29	1293.85	1296.54	1281.90	1283.98	129062	0	0
2017.11.30	1283.98	1285.16	1270.22	1274.82	142554	0	0
2017.12.01	1274.80	1289.07	1271.50	1279.88	162278	0	29
2017.12.03	1272.80	1275.33	1272.36	1273.77	4921	0	36
2017.12.04	1273.77	1277.02	1270.89	1276.39	119276	0	0
2017.12.05	1276.39	1276.86	1260.86	1266.09	121619	0	14
2017.12.06	1266.05	1269.13	1262.43	1263.88	128161	0	31
2017.12.07	1263.82	1263.96	1243.78	1246.95	119488	0	29
2017.12.08	1246.94	1252.23	1243.60	1248.04	107024	0	31
2017.12.10	1247.70	1249.02	1247.61	1248.42	1980	0	16
2017.12.11	1248.42	1251.40	1240.58	1242.70	83033	0	4
2017.12.12	1242.70	1246.09	1236.37	1243.28	84535	0	26
2017.12.13	1243.28	1256.92	1240.12	1253.86	109024	0	9
2017.12.14	1253.82	1258.95	1250.35	1253.42	109238	0	29
2017.12.15	1253.32	1261.72	1252.99	1255.33	100497	0	0
2017.12.17	1254.28	1254.38	1253.53	1253.71	2232	0	36
2017.12.18	1253.70	1263.83	1252.62	1261.29	92248	0	30
2017.12.19	1261.28	1265.11	1259.11	1261.58	92206	0	12
